Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
745	2016	Septiembre	30.3	9.645	33.175	15.26071436	0.731
746	2016	Septiembre	11	3.501	2.713	1.247991001	0.096
747	2016	Septiembre	21.4	6.812	14.048	6.462232254	0.364
748	2016	Septiembre	16	5.093	6.848	3.150000377	0.204
749	2016	Septiembre	24.7	7.862	20.023	9.210523186	0.485
750	2016	Septiembre	19.7	6.271	11.45	5.26691335	0.309
751	2016	Septiembre	26.5	8.435	23.824	10.95899385	0.559
752	2016	Septiembre	10	3.183	2.144	0.986120821	0.08
753	2016	Septiembre	15	4.775	5.838	2.685663704	0.179
754	2016	Septiembre	22	7.003	15.042	6.919210975	0.385
755	2016	Septiembre	23.5	7.48	17.704	8.144019714	0.439
756	2016	Septiembre	24	7.639	18.65	8.578909905	0.458
757	2016	Septiembre	24	7.639	18.65	8.578909905	0.458
